year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2015,Big 12,1,Kansas,36,5,6,0.75,,106.3,96.8,9.5,24.1,54.9,0.44,5.9,15.6,0.379,0.494,16.9,23.4,0.724,11.8,37.9,13.2,6.6,4.9,12.9,17.8,64.8,18.47,12.13,66.7
2015,Big 12,2,Iowa State,34,6,5,0.735,,111.4,98.8,12.6,27.6,58.0,0.476,7.7,21.4,0.362,0.543,14.8,21.2,0.696,9.5,35.9,16.1,6.4,3.9,11.0,15.5,69.0,17.94,9.15,69.8
2015,Big 12,3,Oklahoma,35,5,6,0.686,,105.2,92.4,12.8,25.3,58.1,0.435,6.7,19.7,0.343,0.493,14.1,19.1,0.741,11.1,38.1,12.3,6.8,5.0,12.0,16.3,62.7,18.65,9.94,67.4
2015,Big 12,4,Baylor,34,6,5,0.706,,109.2,95.2,14.0,23.9,55.1,0.434,6.9,18.4,0.377,0.497,14.3,21.3,0.674,14.6,39.2,14.6,7.7,3.9,12.8,16.6,60.2,17.85,9.33,62.8
2015,Big 12,5,West Virginia,35,5,5,0.714,,104.9,96.5,8.4,24.9,61.1,0.408,6.5,20.5,0.316,0.461,16.3,24.7,0.662,16.4,36.3,14.1,10.7,2.7,12.9,23.5,66.8,15.12,9.29,68.7
2015,Big 12,6,Kansas State,32,1,10,0.469,,99.5,100.8,-1.3,21.6,49.8,0.433,4.4,13.2,0.335,0.477,15.5,22.9,0.676,10.6,31.7,13.0,6.1,2.3,13.3,20.0,63.8,8.48,9.29,63.1
2015,Big 12,7,Oklahoma State,32,3,8,0.563,,103.6,96.5,7.1,22.9,52.1,0.44,7.1,20.2,0.349,0.507,14.6,20.2,0.726,9.0,32.5,11.4,7.9,4.9,12.3,19.2,62.8,12.95,9.63,64.6
2015,Big 12,8,Texas,34,4,7,0.588,,105.9,94.7,11.1,23.4,54.0,0.433,6.2,18.4,0.339,0.491,14.3,19.7,0.724,12.4,39.7,13.0,3.8,7.8,12.8,16.3,60.3,16.16,9.07,62.9
2015,Big 12,9,TCU,33,2,8,0.545,,104.6,95.7,8.9,24.0,54.8,0.437,4.5,13.9,0.327,0.479,15.7,25.5,0.615,13.5,36.8,13.2,6.3,5.3,12.0,20.6,62.4,11.1,5.32,64.7
2015,Big 12,10,Texas Tech,32,0,10,0.406,,95.9,101.3,-5.4,20.4,50.3,0.405,5.3,16.4,0.323,0.457,14.9,23.2,0.642,11.7,33.5,11.1,5.8,4.1,13.8,17.4,64.3,3.77,7.2,63.0
2016,Big 12,1,Kansas,38,7,3,0.868,,115.1,95.7,19.3,28.7,58.1,0.495,8.0,19.2,0.418,0.564,15.8,22.2,0.713,10.6,38.0,15.9,6.7,4.2,12.6,18.9,67.6,23.87,11.22,69.7
2016,Big 12,2,West Virginia,35,7,4,0.743,,110.3,93.7,16.6,26.9,60.1,0.449,6.0,18.4,0.325,0.498,18.7,27.8,0.673,15.9,39.4,14.6,9.8,2.7,14.2,23.4,66.7,21.61,9.78,70.7
2016,Big 12,3,Oklahoma,37,7,5,0.784,,111.0,99.0,12.0,27.5,60.1,0.458,10.3,24.5,0.422,0.543,14.3,19.8,0.722,11.0,38.3,14.5,6.7,5.1,13.1,17.0,71.1,19.76,11.14,71.0
2016,Big 12,4,Texas,33,5,5,0.606,,106.1,101.5,4.6,24.7,57.1,0.432,7.0,20.6,0.341,0.494,15.0,22.5,0.666,11.0,34.5,11.4,5.1,4.4,10.3,20.8,68.3,14.8,11.71,66.8
2016,Big 12,5,Baylor,34,6,5,0.647,,112.8,101.8,11.0,27.4,58.9,0.466,6.2,16.8,0.367,0.518,16.0,22.1,0.725,13.7,37.3,17.7,7.9,4.0,12.7,19.4,69.6,16.13,9.76,67.6
2016,Big 12,6,Iowa State,35,4,7,0.657,,113.1,103.7,9.4,31.1,61.7,0.503,8.4,21.7,0.387,0.571,11.3,16.1,0.702,8.7,35.5,16.5,6.2,4.1,11.4,15.5,75.0,16.93,10.16,71.5
2016,Big 12,7,Texas Tech,32,3,7,0.594,,106.7,103.5,3.2,24.5,54.8,0.448,5.8,16.7,0.346,0.5,17.2,23.2,0.742,10.2,33.9,13.1,5.9,4.2,12.0,18.4,69.9,12.41,10.25,66.7
2016,Big 12,8,Kansas State,33,2,9,0.515,,102.9,99.2,3.7,24.4,56.8,0.429,5.3,17.7,0.3,0.476,16.6,24.2,0.688,13.2,36.5,13.9,7.5,2.8,13.9,20.0,68.2,12.31,9.79,67.5
2016,Big 12,9,Oklahoma State,32,1,9,0.375,,101.1,102.1,-1.0,22.6,53.4,0.423,6.4,19.5,0.328,0.483,14.9,20.4,0.729,9.7,34.7,12.2,5.6,4.1,12.6,19.9,67.1,8.18,8.81,65.0
2016,Big 12,10,TCU,33,1,10,0.364,,95.7,102.2,-6.5,22.2,54.8,0.406,5.7,16.9,0.335,0.457,16.8,25.0,0.671,10.8,33.7,11.6,6.5,3.8,14.5,20.5,71.5,4.07,8.62,70.0
2017,Big 12,1,Kansas,36,10,1,0.861,,115.4,99.7,15.7,29.8,60.9,0.488,8.8,21.9,0.404,0.561,14.9,21.9,0.678,11.9,38.7,16.2,6.9,4.5,12.7,17.8,71.9,23.53,12.23,71.4
2017,Big 12,2,Baylor,35,6,4,0.771,,111.5,97.5,14.1,26.3,55.9,0.471,6.6,18.3,0.359,0.53,13.7,18.9,0.723,12.9,38.0,15.5,5.1,4.7,13.4,17.6,63.7,19.75,11.87,65.3
2017,Big 12,3,Iowa State,35,5,6,0.686,,112.5,100.6,11.9,29.5,62.5,0.472,9.8,24.6,0.4,0.55,12.1,17.3,0.7,9.1,34.8,15.8,7.8,3.5,10.1,15.9,72.3,20.51,11.94,70.6
2017,Big 12,4,West Virginia,37,6,4,0.757,,112.2,91.8,20.4,28.6,63.1,0.454,7.4,20.5,0.362,0.513,16.8,24.5,0.685,14.4,37.5,16.4,10.0,4.8,12.3,20.4,66.7,24.45,9.67,71.4
2017,Big 12,5,Oklahoma State,33,7,5,0.606,,117.8,107.9,10.0,29.0,62.1,0.467,8.9,22.2,0.402,0.539,18.8,23.8,0.789,13.8,36.8,14.7,7.6,3.0,13.1,22.1,78.5,19.19,12.22,72.7
2017,Big 12,6,Kansas State,35,5,6,0.6,,106.4,100.0,6.4,24.8,53.8,0.461,7.1,19.5,0.362,0.527,15.4,22.1,0.694,9.4,32.3,14.9,7.7,3.7,12.9,18.0,67.8,14.8,10.48,67.5
